"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Location_Compare","ID_1087","ID_1089","ID_1090","ID_1091","ID_1092","ID_1097","ID_1098","ID_1099","ID_2263","ID_2265","ID_2266","ID_2267","ID_2268","ID_2382","ID_2383","ID_2384"
"Acerv_evm.model.Segkk2994_pilon.8",138.506146896979,-1.46513121545412,0.547876814479547,-2.67419824444645,0.00749081556335289,0.0273558397269347,"NurseryvsCCC",0,95,960,662,725,131,327,264,104,120,830,167,33,36,0,106
"Acerv_evm.model.Segkk3029_pilon.13",417.079593956558,-1.35341102432946,0.52680423473163,-2.56909670632949,0.0101963998370016,0.0337756857284884,"NurseryvsCCC",6,255,2302,2734,1625,454,524,1567,335,498,1575,229,331,93,0,758
"Acerv_evm.model.Segkk3029_pilon.12",423.092368071628,-2.04828832490254,0.637776404381065,-3.21160881906617,0.00131993970492225,0.00833717017700888,"NurseryvsCCC",0,201,2371,2179,1735,1220,748,1489,307,408,1009,481,68,47,0,526
"Acerv_evm.model.Segkk3047_pilon.3",151.954092882402,-1.56886579536407,0.507011702470426,-3.09433842990159,0.00197252339279124,0.010901714108373,"NurseryvsCCC",3,144,821,473,392,312,260,414,194,55,676,209,49,42,0,175
"Acerv_evm.model.Segkk3053_pilon.3",109.484221275526,-1.78565381507768,0.715224889636647,-2.49663265491898,0.0125378763812595,0.0386116690547246,"NurseryvsCCC",11,130,70,163,81,32,163,215,173,4,225,106,57,12,0,76
"Acerv_evm.model.Segkk3063_pilon.10",210.011171530302,1.30082526932614,0.462830490259941,2.81058680597199,0.0049451247271778,0.0195593112212336,"NurseryvsCCC",0,374,333,625,144,205,49,104,369,299,1457,926,569,124,5,1020
"Acerv_evm.model.Segkk3090_pilon.3",30.4054622891132,-1.39644478989895,0.499432751789741,-2.79606170179013,0.00517295233950459,0.0201387264034801,"NurseryvsCCC",0,27,157,270,89,34,45,142,65,8,41,83,34,10,0,22
"Acerv_evm.model.Segkk3102_pilon.32",205.223592283665,-1.62172135357888,0.687278041801141,-2.35962922564622,0.0182932083402914,0.0497736086269906,"NurseryvsCCC",2,110,347,592,561,268,675,716,203,63,490,181,8,77,0,563
"Acerv_evm.model.Segkk3107_pilon.4",181.038772808887,-1.39940890437496,0.542605104867491,-2.57905591344686,0.00990707495568024,0.0333286923780765,"NurseryvsCCC",3,336,358,425,375,886,144,392,173,93,603,72,60,61,0,432
"Acerv_evm.model.Segkk3112_pilon.4",598.86540857929,-3.45156220788293,0.746860211012778,-4.62143003066458,3.81103871354009e-06,0.000120674724824131,"NurseryvsCCC",3,150,1709,1675,642,3561,1134,2938,85,181,515,195,46,9,0,667
"Acerv_evm.model.Segkk3134_pilon.27",84.7225122568977,-1.13488006103937,0.458600484495373,-2.4746595335331,0.0133363243438174,0.0401182345472532,"NurseryvsCCC",0,137,446,562,431,84,114,230,51,116,282,292,56,20,0,118
"Acerv_evm.model.Segkk3134_pilon.4",613.353071532208,-1.24064995107616,0.483814800793511,-2.56430755950697,0.0103381890623193,0.0339487481675099,"NurseryvsCCC",17,882,2130,1995,1543,430,1408,1120,724,762,1840,764,854,210,0,772
