"Plot Title: KBN_5.28.2021"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 21085862, SEN S/N: 21085862)","Coupler Attached (LGR S/N: 21085862)","Host Connected (LGR S/N: 21085862)","Stopped (LGR S/N: 21085862)","End Of File (LGR S/N: 21085862)"
485,07/07/21 05:00:00 PM,28.655,,,,
486,07/07/21 07:00:00 PM,28.456,,,,
487,07/07/21 09:00:00 PM,28.456,,,,
488,07/07/21 11:00:00 PM,28.456,,,,
489,07/08/21 01:00:00 AM,28.456,,,,
490,07/08/21 03:00:00 AM,28.357,,,,
491,07/08/21 05:00:00 AM,28.258,,,,
492,07/08/21 07:00:00 AM,28.159,,,,
493,07/08/21 09:00:00 AM,28.555,,,,
494,07/08/21 11:00:00 AM,28.754,,,,
495,07/08/21 01:00:00 PM,28.853,,,,
496,07/08/21 03:00:00 PM,29.152,,,,
497,07/08/21 05:00:00 PM,29.152,,,,
498,07/08/21 07:00:00 PM,28.754,,,,
499,07/08/21 09:00:00 PM,28.456,,,,
500,07/08/21 11:00:00 PM,28.655,,,,
501,07/09/21 01:00:00 AM,28.555,,,,
502,07/09/21 03:00:00 AM,28.655,,,,
503,07/09/21 05:00:00 AM,28.655,,,,
504,07/09/21 07:00:00 AM,28.655,,,,
505,07/09/21 09:00:00 AM,28.754,,,,
506,07/09/21 11:00:00 AM,29.053,,,,
507,07/09/21 01:00:00 PM,29.452,,,,
508,07/09/21 03:00:00 PM,29.652,,,,
509,07/09/21 05:00:00 PM,29.552,,,,
510,07/09/21 07:00:00 PM,28.853,,,,
511,07/09/21 09:00:00 PM,28.655,,,,
512,07/09/21 11:00:00 PM,28.754,,,,
513,07/10/21 01:00:00 AM,28.853,,,,
514,07/10/21 03:00:00 AM,28.953,,,,
515,07/10/21 05:00:00 AM,28.853,,,,
516,07/10/21 07:00:00 AM,28.853,,,,
517,07/10/21 09:00:00 AM,28.853,,,,
518,07/10/21 11:00:00 AM,28.853,,,,
519,07/10/21 01:00:00 PM,28.953,,,,
520,07/10/21 03:00:00 PM,29.152,,,,
521,07/10/21 05:00:00 PM,29.053,,,,
522,07/10/21 07:00:00 PM,28.953,,,,
523,07/10/21 09:00:00 PM,28.853,,,,
524,07/10/21 11:00:00 PM,28.853,,,,
525,07/11/21 01:00:00 AM,28.754,,,,
526,07/11/21 03:00:00 AM,28.754,,,,
527,07/11/21 05:00:00 AM,28.754,,,,
528,07/11/21 07:00:00 AM,28.655,,,,
529,07/11/21 09:00:00 AM,28.853,,,,
530,07/11/21 11:00:00 AM,28.953,,,,
531,07/11/21 01:00:00 PM,29.252,,,,
