"Plot Title: KBNursery1.09.18"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20194578, SEN S/N: 20194578)","Intensity, lum/ft² (LGR S/N: 20194578, SEN S/N: 20194578)","End Of File (LGR S/N: 20194578)"
353,02/07/18 04:00:00 PM,75.139,192.0,
354,02/07/18 06:00:00 PM,74.964,4.0,
355,02/07/18 08:00:00 PM,74.791,0.0,
356,02/07/18 10:00:00 PM,74.446,0.0,
357,02/08/18 12:00:00 AM,74.619,0.0,
358,02/08/18 02:00:00 AM,74.791,0.0,
359,02/08/18 04:00:00 AM,74.791,0.0,
360,02/08/18 06:00:00 AM,74.619,0.0,
361,02/08/18 08:00:00 AM,74.446,28.0,
362,02/08/18 10:00:00 AM,74.619,336.0,
363,02/08/18 12:00:00 PM,75.312,384.0,
364,02/08/18 02:00:00 PM,75.312,216.0,
365,02/08/18 04:00:00 PM,75.139,152.0,
366,02/08/18 06:00:00 PM,75.139,6.0,
367,02/08/18 08:00:00 PM,74.964,0.0,
368,02/08/18 10:00:00 PM,75.312,0.0,
369,02/09/18 12:00:00 AM,75.484,0.0,
370,02/09/18 02:00:00 AM,75.139,0.0,
371,02/09/18 04:00:00 AM,75.139,0.0,
372,02/09/18 06:00:00 AM,74.964,0.0,
373,02/09/18 08:00:00 AM,75.139,40.0,
374,02/09/18 10:00:00 AM,75.832,232.0,
375,02/09/18 12:00:00 PM,75.659,272.0,
376,02/09/18 02:00:00 PM,76.181,116.0,
377,02/09/18 04:00:00 PM,75.832,67.0,
378,02/09/18 06:00:00 PM,75.659,6.0,
379,02/09/18 08:00:00 PM,75.659,0.0,
380,02/09/18 10:00:00 PM,75.659,0.0,
381,02/10/18 12:00:00 AM,75.484,0.0,
382,02/10/18 02:00:00 AM,75.484,0.0,
383,02/10/18 04:00:00 AM,75.484,0.0,
384,02/10/18 06:00:00 AM,75.484,0.0,
385,02/10/18 08:00:00 AM,75.484,32.0,
386,02/10/18 10:00:00 AM,76.006,480.0,
387,02/10/18 12:00:00 PM,76.528,496.0,
388,02/10/18 02:00:00 PM,76.528,272.0,
389,02/10/18 04:00:00 PM,76.006,40.0,
390,02/10/18 06:00:00 PM,75.832,3.0,
391,02/10/18 08:00:00 PM,75.832,0.0,
392,02/10/18 10:00:00 PM,76.181,0.0,
393,02/11/18 12:00:00 AM,76.354,0.0,
394,02/11/18 02:00:00 AM,76.354,0.0,
395,02/11/18 04:00:00 AM,76.006,0.0,
396,02/11/18 06:00:00 AM,75.659,0.0,
397,02/11/18 08:00:00 AM,75.832,41.0,
398,02/11/18 10:00:00 AM,76.006,85.0,
399,02/11/18 12:00:00 PM,76.181,168.0,
400,02/11/18 02:00:00 PM,76.528,152.0,
401,02/11/18 04:00:00 PM,76.528,70.0,
402,02/11/18 06:00:00 PM,76.181,4.0,
403,02/11/18 08:00:00 PM,76.006,0.0,
404,02/11/18 10:00:00 PM,76.181,0.0,
405,02/12/18 12:00:00 AM,76.528,0.0,
406,02/12/18 02:00:00 AM,76.354,0.0,
407,02/12/18 04:00:00 AM,76.354,0.0,
408,02/12/18 06:00:00 AM,76.181,0.0,
409,02/12/18 08:00:00 AM,76.181,34.0,
410,02/12/18 10:00:00 AM,76.181,93.0,
411,02/12/18 12:00:00 PM,76.528,108.0,
412,02/12/18 02:00:00 PM,76.528,152.0,
413,02/12/18 04:00:00 PM,76.354,84.0,
414,02/12/18 06:00:00 PM,75.832,6.0,
415,02/12/18 08:00:00 PM,75.832,0.0,
416,02/12/18 10:00:00 PM,76.006,0.0,
417,02/13/18 12:00:00 AM,76.703,0.0,
418,02/13/18 02:00:00 AM,76.703,0.0,
419,02/13/18 04:00:00 AM,76.703,0.0,
420,02/13/18 06:00:00 AM,75.832,0.0,
421,02/13/18 08:00:00 AM,75.312,75.0,
422,02/13/18 10:00:00 AM,76.006,368.0,
423,02/13/18 12:00:00 PM,76.876,232.0,
424,02/13/18 02:00:00 PM,77.225,176.0,
425,02/13/18 04:00:00 PM,76.876,54.0,
426,02/13/18 06:00:00 PM,76.181,5.0,
427,02/13/18 08:00:00 PM,75.832,0.0,
428,02/13/18 10:00:00 PM,75.659,0.0,
429,02/14/18 12:00:00 AM,76.006,0.0,
430,02/14/18 02:00:00 AM,76.703,0.0,
431,02/14/18 04:00:00 AM,76.354,0.0,
432,02/14/18 06:00:00 AM,75.832,0.0,
433,02/14/18 08:00:00 AM,76.006,43.0,
434,02/14/18 10:00:00 AM,76.354,192.0,
435,02/14/18 12:00:00 PM,76.528,416.0,
436,02/14/18 02:00:00 PM,77.225,208.0,
437,02/14/18 04:00:00 PM,77.050,98.0,
438,02/14/18 06:00:00 PM,76.181,8.0,
439,02/14/18 08:00:00 PM,75.484,0.0,
440,02/14/18 10:00:00 PM,75.484,0.0,
441,02/15/18 12:00:00 AM,75.312,0.0,
442,02/15/18 02:00:00 AM,75.832,0.0,
443,02/15/18 04:00:00 AM,75.832,0.0,
444,02/15/18 06:00:00 AM,75.659,0.0,
445,02/15/18 08:00:00 AM,76.181,107.0,
446,02/15/18 10:00:00 AM,76.876,304.0,
447,02/15/18 12:00:00 PM,77.225,512.0,
448,02/15/18 02:00:00 PM,77.050,288.0,
449,02/15/18 04:00:00 PM,76.876,128.0,
450,02/15/18 06:00:00 PM,76.703,8.0,
451,02/15/18 08:00:00 PM,76.528,0.0,
452,02/15/18 10:00:00 PM,76.354,0.0,
453,02/16/18 12:00:00 AM,76.181,0.0,
454,02/16/18 02:00:00 AM,76.181,0.0,
455,02/16/18 04:00:00 AM,76.006,0.0,
456,02/16/18 06:00:00 AM,76.006,0.0,
457,02/16/18 08:00:00 AM,76.006,37.0,
458,02/16/18 10:00:00 AM,76.528,464.0,
459,02/16/18 12:00:00 PM,76.876,496.0,
460,02/16/18 02:00:00 PM,76.876,352.0,
461,02/16/18 04:00:00 PM,77.050,103.0,
462,02/16/18 06:00:00 PM,76.181,9.0,
463,02/16/18 08:00:00 PM,76.181,0.0,
464,02/16/18 10:00:00 PM,76.006,0.0,
465,02/17/18 12:00:00 AM,76.006,0.0,
466,02/17/18 02:00:00 AM,76.006,0.0,
467,02/17/18 04:00:00 AM,76.006,0.0,
468,02/17/18 06:00:00 AM,75.832,0.0,
469,02/17/18 08:00:00 AM,76.006,27.0,
470,02/17/18 10:00:00 AM,76.354,92.0,
471,02/17/18 12:00:00 PM,76.703,200.0,
472,02/17/18 02:00:00 PM,77.050,336.0,
473,02/17/18 04:00:00 PM,77.225,232.0,
474,02/17/18 06:00:00 PM,76.876,9.0,
475,02/17/18 08:00:00 PM,76.528,0.0,
476,02/17/18 10:00:00 PM,76.528,0.0,
477,02/18/18 12:00:00 AM,76.703,0.0,
478,02/18/18 02:00:00 AM,76.528,0.0,
479,02/18/18 04:00:00 AM,76.528,0.0,
480,02/18/18 06:00:00 AM,76.528,0.0,
481,02/18/18 08:00:00 AM,76.528,17.0,
482,02/18/18 10:00:00 AM,77.050,384.0,
483,02/18/18 12:00:00 PM,77.225,384.0,
484,02/18/18 02:00:00 PM,77.400,248.0,
485,02/18/18 04:00:00 PM,77.574,304.0,
486,02/18/18 06:00:00 PM,77.400,6.0,
487,02/18/18 08:00:00 PM,77.050,0.0,
488,02/18/18 10:00:00 PM,77.225,0.0,
489,02/19/18 12:00:00 AM,77.050,0.0,
490,02/19/18 02:00:00 AM,76.876,0.0,
491,02/19/18 04:00:00 AM,76.703,0.0,
492,02/19/18 06:00:00 AM,76.703,0.0,
493,02/19/18 08:00:00 AM,76.354,26.0,
494,02/19/18 10:00:00 AM,76.181,29.0,
495,02/19/18 12:00:00 PM,76.703,62.0,
496,02/19/18 02:00:00 PM,77.225,400.0,
497,02/19/18 04:00:00 PM,77.050,52.0,
498,02/19/18 06:00:00 PM,76.876,2.0,
499,02/19/18 08:00:00 PM,76.876,0.0,
500,02/19/18 10:00:00 PM,76.528,0.0,
501,02/20/18 12:00:00 AM,76.528,0.0,
502,02/20/18 02:00:00 AM,76.528,0.0,
503,02/20/18 04:00:00 AM,76.528,0.0,
504,02/20/18 06:00:00 AM,76.528,0.0,
505,02/20/18 08:00:00 AM,76.528,15.0,
506,02/20/18 10:00:00 AM,76.528,111.0,
507,02/20/18 12:00:00 PM,77.050,144.0,
508,02/20/18 02:00:00 PM,77.225,232.0,
509,02/20/18 04:00:00 PM,77.225,71.0,
510,02/20/18 06:00:00 PM,77.050,3.0,
511,02/20/18 08:00:00 PM,76.876,0.0,
512,02/20/18 10:00:00 PM,76.876,0.0,
513,02/21/18 12:00:00 AM,76.703,0.0,
514,02/21/18 02:00:00 AM,76.703,0.0,
